Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1720094257486,04/07/2024 11:57:37,1720097857486,1,04/07/2024 13:57:37,172913,29,questionnaire-a223,,38750439,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Information Sheet,3,D,Consent,eligible,,,,,info,,BEGIN,,,,,
2,1720094310939,04/07/2024 11:58:30,1720097910939,1,04/07/2024 13:58:30,172913,29,questionnaire-a223,,38750439,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Information Sheet,3,D,Consent,eligible,,,,,info,,END,,,,,
1,1720094547619,04/07/2024 12:02:27,1720098147619,1,04/07/2024 14:02:27,172913,29,questionnaire-a223,,38750547,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Information Sheet,3,F,Consent,eligible,,,,,info,,BEGIN,,,,,
2,1720094552101,04/07/2024 12:02:32,1720098152101,1,04/07/2024 14:02:32,172913,29,questionnaire-a223,,38750547,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Information Sheet,3,F,Consent,eligible,,,,,info,,END,,,,,
1,1720094637655,04/07/2024 12:03:57,1720098237655,1,04/07/2024 14:03:57,172913,29,questionnaire-a223,,38750568,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Information Sheet,3,B,Consent,eligible,,,,,info,,BEGIN,,,,,
2,1720094690711,04/07/2024 12:04:50,1720098290711,1,04/07/2024 14:04:50,172913,29,questionnaire-a223,,38750568,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Information Sheet,3,B,Consent,eligible,,,,,info,,END,,,,,
1,1720094607876,04/07/2024 12:03:27,1720098207876,1,04/07/2024 14:03:27,172913,29,questionnaire-a223,,38750574,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Information Sheet,3,C,Consent,eligible,,,,,info,,BEGIN,,,,,
2,1720094613438,04/07/2024 12:03:33,1720098213438,1,04/07/2024 14:03:33,172913,29,questionnaire-a223,,38750574,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Information Sheet,3,C,Consent,eligible,,,,,info,,END,,,,,
1,1720094759774,04/07/2024 12:05:59,1720098359774,1,04/07/2024 14:05:59,172913,29,questionnaire-a223,,38750662,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Information Sheet,3,A,Consent,eligible,,,,,info,,BEGIN,,,,,
2,1720094863667,04/07/2024 12:07:43,1720098463667,1,04/07/2024 14:07:43,172913,29,questionnaire-a223,,38750662,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Information Sheet,3,A,Consent,eligible,,,,,info,,END,,,,,
