Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1720094651701,04/07/2024 12:04:11,1720098251701,1,04/07/2024 14:04:11,172913,29,questionnaire-c427,,38750601,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Risk Aversion Questionnaire with attention check (8),4,D,Consent,eligible,,,,,info,,BEGIN,,,,,
2,1720094708091,04/07/2024 12:05:08,1720098308091,1,04/07/2024 14:05:08,172913,29,questionnaire-c427,,38750601,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Risk Aversion Questionnaire with attention check (8),4,D,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£50 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,2,object-5
3,1720094708092,04/07/2024 12:05:08,1720098308092,1,04/07/2024 14:05:08,172913,29,questionnaire-c427,,38750601,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Risk Aversion Questionnaire with attention check (8),4,D,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£50 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,2,object-5
4,1720094708092,04/07/2024 12:05:08,1720098308092,1,04/07/2024 14:05:08,172913,29,questionnaire-c427,,38750601,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Risk Aversion Questionnaire with attention check (8),4,D,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£60 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,3,object-9
5,1720094708092,04/07/2024 12:05:08,1720098308092,1,04/07/2024 14:05:08,172913,29,questionnaire-c427,,38750601,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Risk Aversion Questionnaire with attention check (8),4,D,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£60 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,3,object-9
6,1720094708092,04/07/2024 12:05:08,1720098308092,1,04/07/2024 14:05:08,172913,29,questionnaire-c427,,38750601,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Risk Aversion Questionnaire with attention check (8),4,D,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,£70 for sure,,"£70 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,4,object-11
7,1720094708092,04/07/2024 12:05:08,1720098308092,1,04/07/2024 14:05:08,172913,29,questionnaire-c427,,38750601,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Risk Aversion Questionnaire with attention check (8),4,D,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,1,,"£70 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,4,object-11
8,1720094708092,04/07/2024 12:05:08,1720098308092,1,04/07/2024 14:05:08,172913,29,questionnaire-c427,,38750601,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Risk Aversion Questionnaire with attention check (8),4,D,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£55 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,5,object-8
9,1720094708093,04/07/2024 12:05:08,1720098308093,1,04/07/2024 14:05:08,172913,29,questionnaire-c427,,38750601,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Risk Aversion Questionnaire with attention check (8),4,D,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£55 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,5,object-8
10,1720094708093,04/07/2024 12:05:08,1720098308093,1,04/07/2024 14:05:08,172913,29,questionnaire-c427,,38750601,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Risk Aversion Questionnaire with attention check (8),4,D,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£65 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,6,object-10
