Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1720165511447,05/07/2024 07:45:11,1720169111447,1,05/07/2024 09:45:11,172913,29,questionnaire-lnn5,,38764211,BLIND,11375532,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x869,412x724,,,0,Risk Aversion Questionnaire with attention check (8),4,E,Consent,eligible,,,,,info,,BEGIN,,,,,
2,1720165578129,05/07/2024 07:46:18,1720169178129,1,05/07/2024 09:46:18,172913,29,questionnaire-lnn5,,38764211,BLIND,11375532,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x869,412x780,,,0,Risk Aversion Questionnaire with attention check (8),4,E,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,£50 for sure,,"£50 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,2,object-5
3,1720165578129,05/07/2024 07:46:18,1720169178129,1,05/07/2024 09:46:18,172913,29,questionnaire-lnn5,,38764211,BLIND,11375532,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x869,412x780,,,0,Risk Aversion Questionnaire with attention check (8),4,E,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,1,,"£50 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,2,object-5
4,1720165578130,05/07/2024 07:46:18,1720169178130,1,05/07/2024 09:46:18,172913,29,questionnaire-lnn5,,38764211,BLIND,11375532,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x869,412x780,,,0,Risk Aversion Questionnaire with attention check (8),4,E,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,£60 for sure,,"£60 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,3,object-9
5,1720165578130,05/07/2024 07:46:18,1720169178130,1,05/07/2024 09:46:18,172913,29,questionnaire-lnn5,,38764211,BLIND,11375532,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x869,412x780,,,0,Risk Aversion Questionnaire with attention check (8),4,E,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,1,,"£60 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,3,object-9
6,1720165578131,05/07/2024 07:46:18,1720169178131,1,05/07/2024 09:46:18,172913,29,questionnaire-lnn5,,38764211,BLIND,11375532,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x869,412x780,,,0,Risk Aversion Questionnaire with attention check (8),4,E,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,£70 for sure,,"£70 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,4,object-11
7,1720165578131,05/07/2024 07:46:18,1720169178131,1,05/07/2024 09:46:18,172913,29,questionnaire-lnn5,,38764211,BLIND,11375532,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x869,412x780,,,0,Risk Aversion Questionnaire with attention check (8),4,E,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,1,,"£70 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,4,object-11
8,1720165578131,05/07/2024 07:46:18,1720169178131,1,05/07/2024 09:46:18,172913,29,questionnaire-lnn5,,38764211,BLIND,11375532,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x869,412x780,,,0,Risk Aversion Questionnaire with attention check (8),4,E,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,£55 for sure,,"£55 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,5,object-8
9,1720165578132,05/07/2024 07:46:18,1720169178132,1,05/07/2024 09:46:18,172913,29,questionnaire-lnn5,,38764211,BLIND,11375532,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x869,412x780,,,0,Risk Aversion Questionnaire with attention check (8),4,E,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,1,,"£55 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,5,object-8
10,1720165578133,05/07/2024 07:46:18,1720169178133,1,05/07/2024 09:46:18,172913,29,questionnaire-lnn5,,38764211,BLIND,11375532,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x869,412x780,,,0,Risk Aversion Questionnaire with attention check (8),4,E,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,£65 for sure,,"£65 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,6,object-10
