Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: Overall impulsiveness,Store: Attentional impulsivity,Store: Motor impulsivity,Store: Non-planning impulsivity
1,1720094593225,04/07/2024 12:03:13,1720098193225,1,04/07/2024 14:03:13,172913,29,questionnaire-mvz2,,38750566,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,State-Trait Inventory for Cognitive and Somatic Anxiety - Trait (STICSA-T) (with scoring),4,D,Consent,eligible,,,,,info,,BEGIN,,,,,,,,,
2,1720094649090,04/07/2024 12:04:09,1720098249090,1,04/07/2024 14:04:09,172913,29,questionnaire-mvz2,,38750566,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,State-Trait Inventory for Cognitive and Somatic Anxiety - Trait (STICSA-T) (with scoring),4,D,Consent,eligible,Page 1,b76lbd,1,"Below is a list of statements which can be used to describe how people feel. Beside each statement are four options which indicate the degree with which each statement is self-descriptive of mood at this moment. **Please read each statement carefully and select the option which best indicates how you generally feel, that is, how you feel most of the
time.**",response,1) My heart beats fast,A Little,,1) My heart beats fast|2) My muscles are tense|3) I feel agonized over my problems|4) I think that others won’t approve of me|5)  I feel like I’m missing out on things because I can’t make up my mind soon enough|6) I feel dizzy|7)  My muscles feel weak|8) I feel trembly and shaky|9) I picture some future misfortune|10) I can’t get some thought out of my mind|11) I have trouble remembering things|12) Please select A Little for this question|13) My face feels hot|14) I think that the worst will happen|15) My arms and legs feel stiff|16) My throat feels dry|17) I keep busy to avoid uncomfortable thoughts|18)  I cannot concentrate without irrelevant thoughts intruding|19) My breathing is fast and shallow|20) I worry that I cannot control my thoughts as well as I would like to|21) I have butterflies in the stomach|22) My palms feel clammy,STICSA-T,1,object-2,15,0,0,0
3,1720094649091,04/07/2024 12:04:09,1720098249091,1,04/07/2024 14:04:09,172913,29,questionnaire-mvz2,,38750566,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,State-Trait Inventory for Cognitive and Somatic Anxiety - Trait (STICSA-T) (with scoring),4,D,Consent,eligible,Page 1,b76lbd,1,"Below is a list of statements which can be used to describe how people feel. Beside each statement are four options which indicate the degree with which each statement is self-descriptive of mood at this moment. **Please read each statement carefully and select the option which best indicates how you generally feel, that is, how you feel most of the
time.**",response,1) My heart beats fast-quantised,2,,1) My heart beats fast|2) My muscles are tense|3) I feel agonized over my problems|4) I think that others won’t approve of me|5)  I feel like I’m missing out on things because I can’t make up my mind soon enough|6) I feel dizzy|7)  My muscles feel weak|8) I feel trembly and shaky|9) I picture some future misfortune|10) I can’t get some thought out of my mind|11) I have trouble remembering things|12) Please select A Little for this question|13) My face feels hot|14) I think that the worst will happen|15) My arms and legs feel stiff|16) My throat feels dry|17) I keep busy to avoid uncomfortable thoughts|18)  I cannot concentrate without irrelevant thoughts intruding|19) My breathing is fast and shallow|20) I worry that I cannot control my thoughts as well as I would like to|21) I have butterflies in the stomach|22) My palms feel clammy,STICSA-T,1,object-2,15,0,0,0
4,1720094649091,04/07/2024 12:04:09,1720098249091,1,04/07/2024 14:04:09,172913,29,questionnaire-mvz2,,38750566,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,State-Trait Inventory for Cognitive and Somatic Anxiety - Trait (STICSA-T) (with scoring),4,D,Consent,eligible,Page 1,b76lbd,1,"Below is a list of statements which can be used to describe how people feel. Beside each statement are four options which indicate the degree with which each statement is self-descriptive of mood at this moment. **Please read each statement carefully and select the option which best indicates how you generally feel, that is, how you feel most of the
time.**",response,2) My muscles are tense,A Little,,1) My heart beats fast|2) My muscles are tense|3) I feel agonized over my problems|4) I think that others won’t approve of me|5)  I feel like I’m missing out on things because I can’t make up my mind soon enough|6) I feel dizzy|7)  My muscles feel weak|8) I feel trembly and shaky|9) I picture some future misfortune|10) I can’t get some thought out of my mind|11) I have trouble remembering things|12) Please select A Little for this question|13) My face feels hot|14) I think that the worst will happen|15) My arms and legs feel stiff|16) My throat feels dry|17) I keep busy to avoid uncomfortable thoughts|18)  I cannot concentrate without irrelevant thoughts intruding|19) My breathing is fast and shallow|20) I worry that I cannot control my thoughts as well as I would like to|21) I have butterflies in the stomach|22) My palms feel clammy,STICSA-T,1,object-2,15,0,0,0
5,1720094649091,04/07/2024 12:04:09,1720098249091,1,04/07/2024 14:04:09,172913,29,questionnaire-mvz2,,38750566,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,State-Trait Inventory for Cognitive and Somatic Anxiety - Trait (STICSA-T) (with scoring),4,D,Consent,eligible,Page 1,b76lbd,1,"Below is a list of statements which can be used to describe how people feel. Beside each statement are four options which indicate the degree with which each statement is self-descriptive of mood at this moment. **Please read each statement carefully and select the option which best indicates how you generally feel, that is, how you feel most of the
time.**",response,2) My muscles are tense-quantised,2,,1) My heart beats fast|2) My muscles are tense|3) I feel agonized over my problems|4) I think that others won’t approve of me|5)  I feel like I’m missing out on things because I can’t make up my mind soon enough|6) I feel dizzy|7)  My muscles feel weak|8) I feel trembly and shaky|9) I picture some future misfortune|10) I can’t get some thought out of my mind|11) I have trouble remembering things|12) Please select A Little for this question|13) My face feels hot|14) I think that the worst will happen|15) My arms and legs feel stiff|16) My throat feels dry|17) I keep busy to avoid uncomfortable thoughts|18)  I cannot concentrate without irrelevant thoughts intruding|19) My breathing is fast and shallow|20) I worry that I cannot control my thoughts as well as I would like to|21) I have butterflies in the stomach|22) My palms feel clammy,STICSA-T,1,object-2,15,0,0,0
6,1720094649091,04/07/2024 12:04:09,1720098249091,1,04/07/2024 14:04:09,172913,29,questionnaire-mvz2,,38750566,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,State-Trait Inventory for Cognitive and Somatic Anxiety - Trait (STICSA-T) (with scoring),4,D,Consent,eligible,Page 1,b76lbd,1,"Below is a list of statements which can be used to describe how people feel. Beside each statement are four options which indicate the degree with which each statement is self-descriptive of mood at this moment. **Please read each statement carefully and select the option which best indicates how you generally feel, that is, how you feel most of the
time.**",response,3) I feel agonized over my problems,A Little,,1) My heart beats fast|2) My muscles are tense|3) I feel agonized over my problems|4) I think that others won’t approve of me|5)  I feel like I’m missing out on things because I can’t make up my mind soon enough|6) I feel dizzy|7)  My muscles feel weak|8) I feel trembly and shaky|9) I picture some future misfortune|10) I can’t get some thought out of my mind|11) I have trouble remembering things|12) Please select A Little for this question|13) My face feels hot|14) I think that the worst will happen|15) My arms and legs feel stiff|16) My throat feels dry|17) I keep busy to avoid uncomfortable thoughts|18)  I cannot concentrate without irrelevant thoughts intruding|19) My breathing is fast and shallow|20) I worry that I cannot control my thoughts as well as I would like to|21) I have butterflies in the stomach|22) My palms feel clammy,STICSA-T,1,object-2,15,0,0,0
7,1720094649091,04/07/2024 12:04:09,1720098249091,1,04/07/2024 14:04:09,172913,29,questionnaire-mvz2,,38750566,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,State-Trait Inventory for Cognitive and Somatic Anxiety - Trait (STICSA-T) (with scoring),4,D,Consent,eligible,Page 1,b76lbd,1,"Below is a list of statements which can be used to describe how people feel. Beside each statement are four options which indicate the degree with which each statement is self-descriptive of mood at this moment. **Please read each statement carefully and select the option which best indicates how you generally feel, that is, how you feel most of the
time.**",response,3) I feel agonized over my problems-quantised,2,,1) My heart beats fast|2) My muscles are tense|3) I feel agonized over my problems|4) I think that others won’t approve of me|5)  I feel like I’m missing out on things because I can’t make up my mind soon enough|6) I feel dizzy|7)  My muscles feel weak|8) I feel trembly and shaky|9) I picture some future misfortune|10) I can’t get some thought out of my mind|11) I have trouble remembering things|12) Please select A Little for this question|13) My face feels hot|14) I think that the worst will happen|15) My arms and legs feel stiff|16) My throat feels dry|17) I keep busy to avoid uncomfortable thoughts|18)  I cannot concentrate without irrelevant thoughts intruding|19) My breathing is fast and shallow|20) I worry that I cannot control my thoughts as well as I would like to|21) I have butterflies in the stomach|22) My palms feel clammy,STICSA-T,1,object-2,15,0,0,0
8,1720094649092,04/07/2024 12:04:09,1720098249092,1,04/07/2024 14:04:09,172913,29,questionnaire-mvz2,,38750566,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,State-Trait Inventory for Cognitive and Somatic Anxiety - Trait (STICSA-T) (with scoring),4,D,Consent,eligible,Page 1,b76lbd,1,"Below is a list of statements which can be used to describe how people feel. Beside each statement are four options which indicate the degree with which each statement is self-descriptive of mood at this moment. **Please read each statement carefully and select the option which best indicates how you generally feel, that is, how you feel most of the
time.**",response,4) I think that others won’t approve of me,Not At All,,1) My heart beats fast|2) My muscles are tense|3) I feel agonized over my problems|4) I think that others won’t approve of me|5)  I feel like I’m missing out on things because I can’t make up my mind soon enough|6) I feel dizzy|7)  My muscles feel weak|8) I feel trembly and shaky|9) I picture some future misfortune|10) I can’t get some thought out of my mind|11) I have trouble remembering things|12) Please select A Little for this question|13) My face feels hot|14) I think that the worst will happen|15) My arms and legs feel stiff|16) My throat feels dry|17) I keep busy to avoid uncomfortable thoughts|18)  I cannot concentrate without irrelevant thoughts intruding|19) My breathing is fast and shallow|20) I worry that I cannot control my thoughts as well as I would like to|21) I have butterflies in the stomach|22) My palms feel clammy,STICSA-T,1,object-2,15,0,0,0
9,1720094649092,04/07/2024 12:04:09,1720098249092,1,04/07/2024 14:04:09,172913,29,questionnaire-mvz2,,38750566,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,State-Trait Inventory for Cognitive and Somatic Anxiety - Trait (STICSA-T) (with scoring),4,D,Consent,eligible,Page 1,b76lbd,1,"Below is a list of statements which can be used to describe how people feel. Beside each statement are four options which indicate the degree with which each statement is self-descriptive of mood at this moment. **Please read each statement carefully and select the option which best indicates how you generally feel, that is, how you feel most of the
time.**",response,4) I think that others won’t approve of me-quantised,1,,1) My heart beats fast|2) My muscles are tense|3) I feel agonized over my problems|4) I think that others won’t approve of me|5)  I feel like I’m missing out on things because I can’t make up my mind soon enough|6) I feel dizzy|7)  My muscles feel weak|8) I feel trembly and shaky|9) I picture some future misfortune|10) I can’t get some thought out of my mind|11) I have trouble remembering things|12) Please select A Little for this question|13) My face feels hot|14) I think that the worst will happen|15) My arms and legs feel stiff|16) My throat feels dry|17) I keep busy to avoid uncomfortable thoughts|18)  I cannot concentrate without irrelevant thoughts intruding|19) My breathing is fast and shallow|20) I worry that I cannot control my thoughts as well as I would like to|21) I have butterflies in the stomach|22) My palms feel clammy,STICSA-T,1,object-2,15,0,0,0
10,1720094649092,04/07/2024 12:04:09,1720098249092,1,04/07/2024 14:04:09,172913,29,questionnaire-mvz2,,38750566,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,State-Trait Inventory for Cognitive and Somatic Anxiety - Trait (STICSA-T) (with scoring),4,D,Consent,eligible,Page 1,b76lbd,1,"Below is a list of statements which can be used to describe how people feel. Beside each statement are four options which indicate the degree with which each statement is self-descriptive of mood at this moment. **Please read each statement carefully and select the option which best indicates how you generally feel, that is, how you feel most of the
time.**",response,5)  I feel like I’m missing out on things because I can’t make up my mind soon enough,Not At All,,1) My heart beats fast|2) My muscles are tense|3) I feel agonized over my problems|4) I think that others won’t approve of me|5)  I feel like I’m missing out on things because I can’t make up my mind soon enough|6) I feel dizzy|7)  My muscles feel weak|8) I feel trembly and shaky|9) I picture some future misfortune|10) I can’t get some thought out of my mind|11) I have trouble remembering things|12) Please select A Little for this question|13) My face feels hot|14) I think that the worst will happen|15) My arms and legs feel stiff|16) My throat feels dry|17) I keep busy to avoid uncomfortable thoughts|18)  I cannot concentrate without irrelevant thoughts intruding|19) My breathing is fast and shallow|20) I worry that I cannot control my thoughts as well as I would like to|21) I have butterflies in the stomach|22) My palms feel clammy,STICSA-T,1,object-2,15,0,0,0
