Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: IU,Store: PIU,Store: IIU
1,1720094925521,04/07/2024 12:08:45,1720098525521,1,04/07/2024 14:08:45,172913,29,questionnaire-o9jb,,38750749,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,IUS-27 with attention check (18),4,A,Consent,eligible,,,,,info,,BEGIN,,,,,,,,
2,1720095051807,04/07/2024 12:10:51,1720098651807,1,04/07/2024 14:10:51,172913,29,questionnaire-o9jb,,38750749,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,IUS-27 with attention check (18),4,A,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,1) Uncertainty stops me from having a firm opinion.,Moderately characteristic of me,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,39,17,13
3,1720095051808,04/07/2024 12:10:51,1720098651808,1,04/07/2024 14:10:51,172913,29,questionnaire-o9jb,,38750749,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,IUS-27 with attention check (18),4,A,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,1) Uncertainty stops me from having a firm opinion.-quantised,4,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,39,17,13
4,1720095051809,04/07/2024 12:10:51,1720098651809,1,04/07/2024 14:10:51,172913,29,questionnaire-o9jb,,38750749,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,IUS-27 with attention check (18),4,A,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,2) Being uncertain means that a person is disorganized.,Not at all characteristic of me,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,39,17,13
5,1720095051809,04/07/2024 12:10:51,1720098651809,1,04/07/2024 14:10:51,172913,29,questionnaire-o9jb,,38750749,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,IUS-27 with attention check (18),4,A,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,2) Being uncertain means that a person is disorganized.-quantised,1,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,39,17,13
6,1720095051810,04/07/2024 12:10:51,1720098651810,1,04/07/2024 14:10:51,172913,29,questionnaire-o9jb,,38750749,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,IUS-27 with attention check (18),4,A,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,3) Uncertainty makes life intolerable.,Not at all characteristic of me,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,39,17,13
7,1720095051811,04/07/2024 12:10:51,1720098651811,1,04/07/2024 14:10:51,172913,29,questionnaire-o9jb,,38750749,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,IUS-27 with attention check (18),4,A,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,3) Uncertainty makes life intolerable.-quantised,1,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,39,17,13
8,1720095051812,04/07/2024 12:10:51,1720098651812,1,04/07/2024 14:10:51,172913,29,questionnaire-o9jb,,38750749,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,IUS-27 with attention check (18),4,A,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,4) It's unfair not having any guarantees in life.,Not at all characteristic of me,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,39,17,13
9,1720095051813,04/07/2024 12:10:51,1720098651813,1,04/07/2024 14:10:51,172913,29,questionnaire-o9jb,,38750749,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,IUS-27 with attention check (18),4,A,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,4) It's unfair not having any guarantees in life.-quantised,1,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,39,17,13
10,1720095051814,04/07/2024 12:10:51,1720098651814,1,04/07/2024 14:10:51,172913,29,questionnaire-o9jb,,38750749,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,IUS-27 with attention check (18),4,A,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,5) My mind can't be relaxed if I don't know what will happen tomorrow.,Not at all characteristic of me,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,39,17,13
