Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: IU,Store: PIU,Store: IIU
1,1720094450934,04/07/2024 12:00:50,1720098050934,1,04/07/2024 14:00:50,172913,29,questionnaire-pwse,,38750505,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,IUS-27 with attention check (18),4,D,Consent,eligible,,,,,info,,BEGIN,,,,,,,,
2,1720094590772,04/07/2024 12:03:10,1720098190772,1,04/07/2024 14:03:10,172913,29,questionnaire-pwse,,38750505,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,IUS-27 with attention check (18),4,D,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,1) Uncertainty stops me from having a firm opinion.,Slightly characteristic of me,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,49,20,16
3,1720094590772,04/07/2024 12:03:10,1720098190772,1,04/07/2024 14:03:10,172913,29,questionnaire-pwse,,38750505,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,IUS-27 with attention check (18),4,D,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,1) Uncertainty stops me from having a firm opinion.-quantised,2,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,49,20,16
4,1720094590773,04/07/2024 12:03:10,1720098190773,1,04/07/2024 14:03:10,172913,29,questionnaire-pwse,,38750505,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,IUS-27 with attention check (18),4,D,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,2) Being uncertain means that a person is disorganized.,Slightly characteristic of me,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,49,20,16
5,1720094590773,04/07/2024 12:03:10,1720098190773,1,04/07/2024 14:03:10,172913,29,questionnaire-pwse,,38750505,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,IUS-27 with attention check (18),4,D,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,2) Being uncertain means that a person is disorganized.-quantised,2,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,49,20,16
6,1720094590774,04/07/2024 12:03:10,1720098190774,1,04/07/2024 14:03:10,172913,29,questionnaire-pwse,,38750505,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,IUS-27 with attention check (18),4,D,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,3) Uncertainty makes life intolerable.,Slightly characteristic of me,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,49,20,16
7,1720094590774,04/07/2024 12:03:10,1720098190774,1,04/07/2024 14:03:10,172913,29,questionnaire-pwse,,38750505,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,IUS-27 with attention check (18),4,D,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,3) Uncertainty makes life intolerable.-quantised,2,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,49,20,16
8,1720094590774,04/07/2024 12:03:10,1720098190774,1,04/07/2024 14:03:10,172913,29,questionnaire-pwse,,38750505,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,IUS-27 with attention check (18),4,D,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,4) It's unfair not having any guarantees in life.,Somewhat characteristic of me,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,49,20,16
9,1720094590774,04/07/2024 12:03:10,1720098190774,1,04/07/2024 14:03:10,172913,29,questionnaire-pwse,,38750505,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,IUS-27 with attention check (18),4,D,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,4) It's unfair not having any guarantees in life.-quantised,3,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,49,20,16
10,1720094590775,04/07/2024 12:03:10,1720098190775,1,04/07/2024 14:03:10,172913,29,questionnaire-pwse,,38750505,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,IUS-27 with attention check (18),4,D,Consent,eligible,Page 1,b76lbd,1,"You will find below a series of statements which describe how people may react to the uncertainties of life.
Please use the scale below to describe to what extent each item is characteristic of you. Please click a circle that describes you best.",response,5) My mind can't be relaxed if I don't know what will happen tomorrow.,Slightly characteristic of me,,"1) Uncertainty stops me from having a firm opinion.|2) Being uncertain means that a person is disorganized.|3) Uncertainty makes life intolerable.|4) It's unfair not having any guarantees in life.|5) My mind can't be relaxed if I don't know what will happen tomorrow.|6) Uncertainty makes me uneasy, anxious, or stressed.|7) Unforeseen events upset me greatly.|8) It frustrates me not having all the information I need.|9) Uncertainty keeps me from living a full life.|10) One should always look ahead so as to avoid surprises.|11) A small unforeseen event can spoil everything, even with the best of planning.|12) When it's time to act, uncertainty paralyses me.|13) Being uncertain means that I am not first rate.|14) When I am uncertain, I can't go forward.|15) When I am uncertain I can't function very well.|16) Unlike me, others always seem to know where they are going with their lives.|17) Uncertainty makes me vulnerable, unhappy, or sad.|18) Please select Not at all for this question.|19) I always want to know what the future has in store for me.|20) I can't stand being taken by surprise.|21) The smallest doubt can stop me from acting.|22) I should be able to organize everything in advance.|23) Being uncertain means that I lack confidence.|24) I think it's unfair that other people seem sure about their future.|25) Uncertainty keeps me from sleeping soundly.|26) I must get away from all uncertain situations.|27) The ambiguities in life stress me.|28) I can't stand being undecided about my future.",IUS (attention check on item 18),1,object-2,49,20,16
