Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: consent
1,1720094313728,04/07/2024 11:58:33,1720097913728,1,04/07/2024 13:58:33,172913,29,questionnaire-q2am,,38750457,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Consent Form New,7,D,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720094317290,04/07/2024 11:58:37,1720097917290,1,04/07/2024 13:58:37,172913,29,questionnaire-q2am,,38750457,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Consent Form New,7,D,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720094317290,04/07/2024 11:58:37,1720097917290,1,04/07/2024 13:58:37,172913,29,questionnaire-q2am,,38750457,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Consent Form New,7,D,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720094317290,04/07/2024 11:58:37,1720097917290,1,04/07/2024 13:58:37,172913,29,questionnaire-q2am,,38750457,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Consent Form New,7,D,Consent,eligible,,,,,info,,END,,,,,,
1,1720094554242,04/07/2024 12:02:34,1720098154242,1,04/07/2024 14:02:34,172913,29,questionnaire-q2am,,38750549,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Consent Form New,7,F,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720094561046,04/07/2024 12:02:41,1720098161046,1,04/07/2024 14:02:41,172913,29,questionnaire-q2am,,38750549,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Consent Form New,7,F,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720094561046,04/07/2024 12:02:41,1720098161046,1,04/07/2024 14:02:41,172913,29,questionnaire-q2am,,38750549,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Consent Form New,7,F,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720094561046,04/07/2024 12:02:41,1720098161046,1,04/07/2024 14:02:41,172913,29,questionnaire-q2am,,38750549,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Consent Form New,7,F,Consent,eligible,,,,,info,,END,,,,,,
1,1720094695179,04/07/2024 12:04:55,1720098295179,1,04/07/2024 14:04:55,172913,29,questionnaire-q2am,,38750605,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Consent Form New,7,B,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720094712670,04/07/2024 12:05:12,1720098312670,1,04/07/2024 14:05:12,172913,29,questionnaire-q2am,,38750605,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Consent Form New,7,B,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720094712670,04/07/2024 12:05:12,1720098312670,1,04/07/2024 14:05:12,172913,29,questionnaire-q2am,,38750605,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Consent Form New,7,B,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720094712671,04/07/2024 12:05:12,1720098312671,1,04/07/2024 14:05:12,172913,29,questionnaire-q2am,,38750605,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Consent Form New,7,B,Consent,eligible,,,,,info,,END,,,,,,
1,1720094615400,04/07/2024 12:03:35,1720098215400,1,04/07/2024 14:03:35,172913,29,questionnaire-q2am,,38750578,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Consent Form New,7,C,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720094619127,04/07/2024 12:03:39,1720098219127,1,04/07/2024 14:03:39,172913,29,questionnaire-q2am,,38750578,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Consent Form New,7,C,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720094619127,04/07/2024 12:03:39,1720098219127,1,04/07/2024 14:03:39,172913,29,questionnaire-q2am,,38750578,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Consent Form New,7,C,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720094619127,04/07/2024 12:03:39,1720098219127,1,04/07/2024 14:03:39,172913,29,questionnaire-q2am,,38750578,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Consent Form New,7,C,Consent,eligible,,,,,info,,END,,,,,,
1,1720094867206,04/07/2024 12:07:47,1720098467206,1,04/07/2024 14:07:47,172913,29,questionnaire-q2am,,38750710,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Consent Form New,7,A,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720094909112,04/07/2024 12:08:29,1720098509112,1,04/07/2024 14:08:29,172913,29,questionnaire-q2am,,38750710,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Consent Form New,7,A,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720094909112,04/07/2024 12:08:29,1720098509112,1,04/07/2024 14:08:29,172913,29,questionnaire-q2am,,38750710,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Consent Form New,7,A,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720094909112,04/07/2024 12:08:29,1720098509112,1,04/07/2024 14:08:29,172913,29,questionnaire-q2am,,38750710,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Consent Form New,7,A,Consent,eligible,,,,,info,,END,,,,,,
1,1720165004643,05/07/2024 07:36:44,1720168604643,1,05/07/2024 09:36:44,172913,29,questionnaire-q2am,,38764087,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Consent Form New,7,B,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720165009349,05/07/2024 07:36:49,1720168609349,1,05/07/2024 09:36:49,172913,29,questionnaire-q2am,,38764087,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Consent Form New,7,B,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720165009349,05/07/2024 07:36:49,1720168609349,1,05/07/2024 09:36:49,172913,29,questionnaire-q2am,,38764087,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Consent Form New,7,B,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
