Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
1,1720095893501,04/07/2024 12:24:53,1720099493501,1,04/07/2024 14:24:53,172913,29,questionnaire-y173,,38751296,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Consent Form end (Clone),1,D,Consent,eligible,,,,,info,,BEGIN,,,,,
2,1720095895717,04/07/2024 12:24:55,1720099495717,1,04/07/2024 14:24:55,172913,29,questionnaire-y173,,38751296,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Consent Form end (Clone),1,D,Consent,eligible,,,,,info,,END,,,,,
1,1720096199874,04/07/2024 12:29:59,1720099799874,1,04/07/2024 14:29:59,172913,29,questionnaire-y173,,38751456,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Consent Form end (Clone),1,F,Consent,eligible,,,,,info,,BEGIN,,,,,
2,1720096204967,04/07/2024 12:30:04,1720099804967,1,04/07/2024 14:30:04,172913,29,questionnaire-y173,,38751456,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Consent Form end (Clone),1,F,Consent,eligible,,,,,info,,END,,,,,
1,1720097030559,04/07/2024 12:43:50,1720100630559,1,04/07/2024 14:43:50,172913,29,questionnaire-y173,,38752036,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Consent Form end (Clone),1,B,Consent,eligible,,,,,info,,BEGIN,,,,,
2,1720097037250,04/07/2024 12:43:57,1720100637250,1,04/07/2024 14:43:57,172913,29,questionnaire-y173,,38752036,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Consent Form end (Clone),1,B,Consent,eligible,,,,,info,,END,,,,,
1,1720097005810,04/07/2024 12:43:25,1720100605810,1,04/07/2024 14:43:25,172913,29,questionnaire-y173,,38752052,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Consent Form end (Clone),1,C,Consent,eligible,,,,,info,,BEGIN,,,,,
2,1720097008627,04/07/2024 12:43:28,1720100608627,1,04/07/2024 14:43:28,172913,29,questionnaire-y173,,38752052,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Consent Form end (Clone),1,C,Consent,eligible,,,,,info,,END,,,,,
1,1720096465104,04/07/2024 12:34:25,1720100065104,1,04/07/2024 14:34:25,172913,29,questionnaire-y173,,38751605,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Consent Form end (Clone),1,A,Consent,eligible,,,,,info,,BEGIN,,,,,
2,1720096468527,04/07/2024 12:34:28,1720100068527,1,04/07/2024 14:34:28,172913,29,questionnaire-y173,,38751605,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Consent Form end (Clone),1,A,Consent,eligible,,,,,info,,END,,,,,
