Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: age,Store: disorders,Store: treatments,Store: oversea,Store: English
1,1720094319357,04/07/2024 11:58:39,1720097919357,1,04/07/2024 13:58:39,172913,29,questionnaire-y2w6,,38750460,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Demographic New,7,D,Consent,eligible,,,,,info,,BEGIN,,,,,,,,,,
2,1720094331984,04/07/2024 11:58:51,1720097931984,1,04/07/2024 13:58:51,172913,29,questionnaire-y2w6,,38750460,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Demographic New,7,D,Consent,eligible,Page 1,832lxi,1,What is your gender?,response,value,Female,,Male|Female|Prefer not say,Multiple Choice,2,object-2,,0,0,0,1
3,1720094331985,04/07/2024 11:58:51,1720097931985,1,04/07/2024 13:58:51,172913,29,questionnaire-y2w6,,38750460,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Demographic New,7,D,Consent,eligible,Page 1,832lxi,1,What is your gender?,response,quantised,2,,Male|Female|Prefer not say,Multiple Choice,2,object-2,,0,0,0,1
4,1720094331985,04/07/2024 11:58:51,1720097931985,1,04/07/2024 13:58:51,172913,29,questionnaire-y2w6,,38750460,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Demographic New,7,D,Consent,eligible,Page 1,832lxi,1,What is your age?,response,value,32,,,Age Entry,3,object-8,,0,0,0,1
5,1720094331985,04/07/2024 11:58:51,1720097931985,1,04/07/2024 13:58:51,172913,29,questionnaire-y2w6,,38750460,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Demographic New,7,D,Consent,eligible,Page 1,832lxi,1,,response,treatment-consent,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
6,1720094331985,04/07/2024 11:58:51,1720097931985,1,04/07/2024 13:58:51,172913,29,questionnaire-y2w6,,38750460,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Demographic New,7,D,Consent,eligible,Page 1,832lxi,1,,response,treatment-reject,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
7,1720094331985,04/07/2024 11:58:51,1720097931985,1,04/07/2024 13:58:51,172913,29,questionnaire-y2w6,,38750460,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Demographic New,7,D,Consent,eligible,Page 1,832lxi,1,,response,diagnosed-consent,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
8,1720094331985,04/07/2024 11:58:51,1720097931985,1,04/07/2024 13:58:51,172913,29,questionnaire-y2w6,,38750460,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Demographic New,7,D,Consent,eligible,Page 1,832lxi,1,,response,diagnosed-reject,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
9,1720094331985,04/07/2024 11:58:51,1720097931985,1,04/07/2024 13:58:51,172913,29,questionnaire-y2w6,,38750460,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Demographic New,7,D,Consent,eligible,Page 1,832lxi,1,,response,UK-consent,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
10,1720094331985,04/07/2024 11:58:51,1720097931985,1,04/07/2024 13:58:51,172913,29,questionnaire-y2w6,,38750460,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Demographic New,7,D,Consent,eligible,Page 1,832lxi,1,,response,UK-reject,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
11,1720094331985,04/07/2024 11:58:51,1720097931985,1,04/07/2024 13:58:51,172913,29,questionnaire-y2w6,,38750460,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Demographic New,7,D,Consent,eligible,Page 1,832lxi,1,,response,English-consent,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
12,1720094331985,04/07/2024 11:58:51,1720097931985,1,04/07/2024 13:58:51,172913,29,questionnaire-y2w6,,38750460,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Demographic New,7,D,Consent,eligible,Page 1,832lxi,1,,response,English-reject,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
13,1720094331986,04/07/2024 11:58:51,1720097931986,1,04/07/2024 13:58:51,172913,29,questionnaire-y2w6,,38750460,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Demographic New,7,D,Consent,eligible,,,,,info,,END,,,,,,,,,,
1,1720094563012,04/07/2024 12:02:43,1720098163012,1,04/07/2024 14:02:43,172913,29,questionnaire-y2w6,,38750554,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,F,Consent,eligible,,,,,info,,BEGIN,,,,,,,,,,
2,1720094579759,04/07/2024 12:02:59,1720098179759,1,04/07/2024 14:02:59,172913,29,questionnaire-y2w6,,38750554,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,F,Consent,eligible,Page 1,832lxi,1,What is your gender?,response,value,Male,,Male|Female|Prefer not say,Multiple Choice,2,object-2,,0,0,0,1
3,1720094579759,04/07/2024 12:02:59,1720098179759,1,04/07/2024 14:02:59,172913,29,questionnaire-y2w6,,38750554,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,F,Consent,eligible,Page 1,832lxi,1,What is your gender?,response,quantised,1,,Male|Female|Prefer not say,Multiple Choice,2,object-2,,0,0,0,1
4,1720094579759,04/07/2024 12:02:59,1720098179759,1,04/07/2024 14:02:59,172913,29,questionnaire-y2w6,,38750554,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,F,Consent,eligible,Page 1,832lxi,1,What is your age?,response,value,41,,,Age Entry,3,object-8,,0,0,0,1
5,1720094579759,04/07/2024 12:02:59,1720098179759,1,04/07/2024 14:02:59,172913,29,questionnaire-y2w6,,38750554,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,F,Consent,eligible,Page 1,832lxi,1,,response,treatment-consent,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
6,1720094579759,04/07/2024 12:02:59,1720098179759,1,04/07/2024 14:02:59,172913,29,questionnaire-y2w6,,38750554,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,F,Consent,eligible,Page 1,832lxi,1,,response,treatment-reject,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
7,1720094579759,04/07/2024 12:02:59,1720098179759,1,04/07/2024 14:02:59,172913,29,questionnaire-y2w6,,38750554,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,F,Consent,eligible,Page 1,832lxi,1,,response,diagnosed-consent,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
8,1720094579759,04/07/2024 12:02:59,1720098179759,1,04/07/2024 14:02:59,172913,29,questionnaire-y2w6,,38750554,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,F,Consent,eligible,Page 1,832lxi,1,,response,diagnosed-reject,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
9,1720094579759,04/07/2024 12:02:59,1720098179759,1,04/07/2024 14:02:59,172913,29,questionnaire-y2w6,,38750554,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,F,Consent,eligible,Page 1,832lxi,1,,response,UK-consent,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
10,1720094579759,04/07/2024 12:02:59,1720098179759,1,04/07/2024 14:02:59,172913,29,questionnaire-y2w6,,38750554,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,F,Consent,eligible,Page 1,832lxi,1,,response,UK-reject,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
11,1720094579760,04/07/2024 12:02:59,1720098179760,1,04/07/2024 14:02:59,172913,29,questionnaire-y2w6,,38750554,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,F,Consent,eligible,Page 1,832lxi,1,,response,English-consent,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
12,1720094579760,04/07/2024 12:02:59,1720098179760,1,04/07/2024 14:02:59,172913,29,questionnaire-y2w6,,38750554,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,F,Consent,eligible,Page 1,832lxi,1,,response,English-reject,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
13,1720094579760,04/07/2024 12:02:59,1720098179760,1,04/07/2024 14:02:59,172913,29,questionnaire-y2w6,,38750554,BLIND,11371837,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,F,Consent,eligible,,,,,info,,END,,,,,,,,,,
1,1720094717981,04/07/2024 12:05:17,1720098317981,1,04/07/2024 14:05:17,172913,29,questionnaire-y2w6,,38750619,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Demographic New,7,B,Consent,eligible,,,,,info,,BEGIN,,,,,,,,,,
2,1720094741323,04/07/2024 12:05:41,1720098341323,1,04/07/2024 14:05:41,172913,29,questionnaire-y2w6,,38750619,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Demographic New,7,B,Consent,eligible,Page 1,832lxi,1,What is your gender?,response,value,Female,,Male|Female|Prefer not say,Multiple Choice,2,object-2,,0,0,0,1
3,1720094741325,04/07/2024 12:05:41,1720098341325,1,04/07/2024 14:05:41,172913,29,questionnaire-y2w6,,38750619,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Demographic New,7,B,Consent,eligible,Page 1,832lxi,1,What is your gender?,response,quantised,2,,Male|Female|Prefer not say,Multiple Choice,2,object-2,,0,0,0,1
4,1720094741327,04/07/2024 12:05:41,1720098341327,1,04/07/2024 14:05:41,172913,29,questionnaire-y2w6,,38750619,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Demographic New,7,B,Consent,eligible,Page 1,832lxi,1,What is your age?,response,value,39,,,Age Entry,3,object-8,,0,0,0,1
5,1720094741329,04/07/2024 12:05:41,1720098341329,1,04/07/2024 14:05:41,172913,29,questionnaire-y2w6,,38750619,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Demographic New,7,B,Consent,eligible,Page 1,832lxi,1,,response,treatment-consent,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
6,1720094741331,04/07/2024 12:05:41,1720098341331,1,04/07/2024 14:05:41,172913,29,questionnaire-y2w6,,38750619,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Demographic New,7,B,Consent,eligible,Page 1,832lxi,1,,response,treatment-reject,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
7,1720094741333,04/07/2024 12:05:41,1720098341333,1,04/07/2024 14:05:41,172913,29,questionnaire-y2w6,,38750619,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Demographic New,7,B,Consent,eligible,Page 1,832lxi,1,,response,diagnosed-consent,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
8,1720094741336,04/07/2024 12:05:41,1720098341336,1,04/07/2024 14:05:41,172913,29,questionnaire-y2w6,,38750619,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Demographic New,7,B,Consent,eligible,Page 1,832lxi,1,,response,diagnosed-reject,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
9,1720094741338,04/07/2024 12:05:41,1720098341338,1,04/07/2024 14:05:41,172913,29,questionnaire-y2w6,,38750619,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Demographic New,7,B,Consent,eligible,Page 1,832lxi,1,,response,UK-consent,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
10,1720094741341,04/07/2024 12:05:41,1720098341341,1,04/07/2024 14:05:41,172913,29,questionnaire-y2w6,,38750619,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Demographic New,7,B,Consent,eligible,Page 1,832lxi,1,,response,UK-reject,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
