Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Left Arm,Spreadsheet: Right Arm,Spreadsheet: Left SR,Spreadsheet: Right SR,Spreadsheet: Left Payoff,Spreadsheet: Right Payoff,Spreadsheet: Condition,Spreadsheet: randomise_trials,Spreadsheet: block_flag,Spreadsheet: Win,Spreadsheet: Left Payoff Text,Spreadsheet: Right Payoff Text,Spreadsheet: Win Text,Manipulation: Spreadsheet,Store: greenBox.png,Store: blueBox.png,Store: points
1,1720094710493,04/07/2024 12:05:10,1720098310493,1,04/07/2024 14:05:10,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1720094753512,04/07/2024 12:05:53,1720098353512,1,04/07/2024 14:05:53,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,1,Instructions,Instructions 1,so2kpt,1,continue,,44129,44121,44129,44129,44121,44129,1,44129,0,0,,Click To Continue,Continue Button,2,object-4,Instructions,,,,,,,,,,,,,,,,,
3,1720094760780,04/07/2024 12:06:00,1720098360780,1,04/07/2024 14:06:00,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,1,Instructions,Instructions 2,em4532,2,continue,,7271,7254,7271,7271,7254,7271,1,7271,0,0,,Click To Continue,Continue Button,2,object-106,Instructions,,,,,,,,,,,,,,,,,
4,1720094762282,04/07/2024 12:06:02,1720098362282,1,04/07/2024 14:06:02,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,1,Instructions,Instructions 3,ks39vb,3,continue,,1517,1501,1517,1517,1501,1517,1,1517,0,0,,Click To Continue,Continue Button,2,object-127,Instructions,,,,,,,,,,,,,,,,,
5,1720094773080,04/07/2024 12:06:13,1720098373080,1,04/07/2024 14:06:13,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,1,SR Winning,Screen 1,pxw3h7,1,continue,,10816,10799,10816,10816,10799,10816,1,10816,0,0,,Click To Continue,Continue Button,2,object-198,SR Winning,,,,,,,,,,,,,,,,,
6,1720094774025,04/07/2024 12:06:14,1720098374025,1,04/07/2024 14:06:14,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,1,Trial,Fixation,gnptrq,1,continue,,968,968,968,968,968,968,1,968,0,0,,Fixation Timing,Fixation,1,object-7,Trial,greenBox.png,blueBox.png,**R**,**S**,7,4,Win S = R,6,6,1,# You **won 7** points,# You **won 4** points,# Winning,,,,
7,1720094776858,04/07/2024 12:06:16,1720098376858,1,04/07/2024 14:06:16,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,1,Trial,Bandits,91qg1k,2,response,greenBox.png,2819,2803,2819,2819,2803,2819,1,2819,0,0,,Click Response,Left Arm,1,object-17,Trial,greenBox.png,blueBox.png,**R**,**S**,7,4,Win S = R,6,6,1,# You **won 7** points,# You **won 4** points,# Winning,,,,
8,1720094780835,04/07/2024 12:06:20,1720098380835,1,04/07/2024 14:06:20,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,1,Trial,Feedback Left,n9r2n7,3,timedOut,,4006,4005,4006,4006,4005,4006,1,4006,0,0,,Time Limit,screen,0,screen,Trial,greenBox.png,blueBox.png,**R**,**S**,7,4,Win S = R,6,6,1,# You **won 7** points,# You **won 4** points,# Winning,,,,
9,1720094781802,04/07/2024 12:06:21,1720098381802,1,04/07/2024 14:06:21,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,2,Trial,Fixation,gnptrq,1,continue,,968,968,968,968,968,968,1,968,0,0,,Fixation Timing,Fixation,1,object-7,Trial,greenBox.png,blueBox.png,**R**,**S**,1,4,Win S = R,6,6,1,# You **won 1** point,# You **won 4** points,# Winning,,,,
10,1720094783128,04/07/2024 12:06:23,1720098383128,1,04/07/2024 14:06:23,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,2,Trial,Bandits,91qg1k,2,response,blueBox.png,1319,1302,1319,1319,1302,1319,1,1319,0,0,,Click Response,Right Arm,2,object-18,Trial,greenBox.png,blueBox.png,**R**,**S**,1,4,Win S = R,6,6,1,# You **won 1** point,# You **won 4** points,# Winning,,,,
11,1720094787109,04/07/2024 12:06:27,1720098387109,1,04/07/2024 14:06:27,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,2,Trial,Feedback Right,g47dtj,3,timedOut,,4005,4005,4005,4005,4005,4005,1,4005,0,0,,Time Limit,screen,0,screen,Trial,greenBox.png,blueBox.png,**R**,**S**,1,4,Win S = R,6,6,1,# You **won 1** point,# You **won 4** points,# Winning,,,,
12,1720094788077,04/07/2024 12:06:28,1720098388077,1,04/07/2024 14:06:28,172913,29,task-c2ir,,38750634,BLIND,11371805,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,2-Armed Bandit (rehearsal),5,D,Consent,eligible,Spreadsheet1,Spreadsheet1,3,Trial,Fixation,gnptrq,1,continue,,968,968,968,968,968,968,1,968,0,0,,Fixation Timing,Fixation,1,object-7,Trial,greenBox.png,blueBox.png,**R**,**S**,5,4,Win S = R,6,6,1,# You **won 5** points,# You **won 4** points,# Winning,,,,
