Participant Private ID,Response,gain,safe,ID
11371872,1,200,50,5
11371872,1,200,60,5
11371872,1,200,70,5
11371872,1,200,55,5
11371872,1,200,65,5
11371872,1,200,85,5
11371872,0,200,100,5
11371872,1,200,75,5
11371872,1,200,95,5
11371872,1,200,80,5
11371872,1,200,90,5
11371872,0,200,105,5
11371872,0,200,120,5
11371872,0,200,110,5
11371872,0,200,115,5
11375672,0,200,50,16
11375672,0,200,60,16
11375672,0,200,70,16
11375672,0,200,55,16
11375672,0,200,65,16
11375672,0,200,85,16
11375672,0,200,100,16
11375672,0,200,75,16
11375672,0,200,95,16
11375672,0,200,80,16
11375672,0,200,90,16
11375672,0,200,105,16
11375672,0,200,120,16
11375672,0,200,110,16
11375672,0,200,115,16
11375815,1,200,50,25
11375815,1,200,60,25
11375815,1,200,70,25
11375815,1,200,55,25
11375815,1,200,65,25
11375815,1,200,85,25
11375815,0,200,100,25
11375815,1,200,75,25
11375815,0,200,95,25
11375815,1,200,80,25
11375815,0,200,90,25
11375815,0,200,105,25
11375815,0,200,120,25
11375815,0,200,110,25
11375815,0,200,115,25
11375907,0,200,50,31
11375907,0,200,60,31
11375907,0,200,70,31
11375907,0,200,55,31
11375907,0,200,65,31
11375907,0,200,85,31
11375907,0,200,100,31
11375907,0,200,75,31
11375907,0,200,95,31
11375907,0,200,80,31
11375907,0,200,90,31
11375907,0,200,105,31
11375907,0,200,120,31
11375907,0,200,110,31
11375907,0,200,115,31
11376009,1,200,50,37
11376009,1,200,60,37
11376009,0,200,70,37
11376009,1,200,55,37
11376009,1,200,65,37
11376009,1,200,85,37
11376009,0,200,100,37
11376009,1,200,75,37
11376009,1,200,95,37
11376009,1,200,80,37
11376009,1,200,90,37
11376009,0,200,105,37
11376009,0,200,120,37
11376009,0,200,110,37
11376009,0,200,115,37
11376027,1,200,50,38
11376027,1,200,60,38
11376027,1,200,70,38
11376027,1,200,55,38
11376027,1,200,65,38
11376027,1,200,85,38
11376027,0,200,100,38
11376027,1,200,75,38
11376027,0,200,95,38
11376027,0,200,80,38
11376027,0,200,90,38
11376027,0,200,105,38
11376027,0,200,120,38
11376027,0,200,110,38
11376027,0,200,115,38
11376230,0,200,50,46
11376230,0,200,60,46
11376230,0,200,70,46
11376230,0,200,55,46
11376230,0,200,65,46
11376230,0,200,85,46
11376230,0,200,100,46
11376230,0,200,75,46
11376230,0,200,95,46
11376230,0,200,80,46
11376230,0,200,90,46
11376230,0,200,105,46
11376230,0,200,120,46
11376230,0,200,110,46
11376230,0,200,115,46
11376357,1,200,50,49
11376357,1,200,60,49
11376357,0,200,70,49
11376357,1,200,55,49
11376357,0,200,65,49
11376357,0,200,85,49
11376357,0,200,100,49
11376357,0,200,75,49
11376357,0,200,95,49
11376357,0,200,80,49
11376357,0,200,90,49
11376357,0,200,105,49
11376357,0,200,120,49
11376357,0,200,110,49
11376357,0,200,115,49
11376583,1,200,50,57
11376583,1,200,60,57
11376583,0,200,70,57
11376583,1,200,55,57
11376583,0,200,65,57
11376583,0,200,85,57
11376583,0,200,100,57
11376583,0,200,75,57
11376583,0,200,95,57
11376583,0,200,80,57
11376583,0,200,90,57
11376583,0,200,105,57
11376583,0,200,120,57
11376583,0,200,110,57
11376583,0,200,115,57
11376647,1,200,50,60
11376647,1,200,60,60
11376647,1,200,70,60
11376647,1,200,55,60
11376647,1,200,65,60
11376647,1,200,85,60
11376647,0,200,100,60
11376647,1,200,75,60
11376647,0,200,95,60
11376647,1,200,80,60
11376647,0,200,90,60
11376647,0,200,105,60
11376647,0,200,120,60
11376647,0,200,110,60
11376647,0,200,115,60
11376830,1,200,50,67
11376830,1,200,60,67
11376830,1,200,70,67
11376830,1,200,55,67
11376830,1,200,65,67
11376830,1,200,85,67
11376830,0,200,100,67
11376830,1,200,75,67
11376830,1,200,95,67
11376830,1,200,80,67
11376830,1,200,90,67
11376830,0,200,105,67
11376830,0,200,120,67
11376830,0,200,110,67
11376830,0,200,115,67
11376994,1,200,50,74
11376994,1,200,60,74
11376994,1,200,70,74
11376994,1,200,55,74
11376994,1,200,65,74
11376994,1,200,85,74
11376994,0,200,100,74
11376994,1,200,75,74
11376994,0,200,95,74
11376994,0,200,80,74
11376994,0,200,90,74
11376994,0,200,105,74
11376994,0,200,120,74
11376994,0,200,110,74
11376994,0,200,115,74
11377283,0,200,50,82
11377283,0,200,60,82
11377283,0,200,70,82
11377283,0,200,55,82
11377283,0,200,65,82
11377283,0,200,85,82
11377283,0,200,100,82
11377283,0,200,75,82
11377283,0,200,95,82
11377283,0,200,80,82
11377283,0,200,90,82
11377283,0,200,105,82
11377283,0,200,120,82
11377283,0,200,110,82
11377283,0,200,115,82
11377326,1,200,50,85
11377326,1,200,60,85
11377326,1,200,70,85
11377326,1,200,55,85
11377326,1,200,65,85
11377326,1,200,85,85
11377326,0,200,100,85
11377326,1,200,75,85
11377326,0,200,95,85
11377326,1,200,80,85
11377326,1,200,90,85
