trial_number,block_number,payoff,response,left,right,payoff_left,payoff_right,context,arms,choice,trial,value_left,value_right,IIU,PIU,IU,IM,Anx,ID
1,6,4,Left,**R**,**S**,4,2,Win,SR,1,1,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
2,6,5,Left,**R**,**S**,5,2,Win,SR,1,2,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
3,6,4,Left,**R**,**S**,4,2,Win,SR,1,3,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
4,6,7,Left,**R**,**S**,7,2,Win,SR,1,4,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
5,6,3,Left,**R**,**S**,3,2,Win,SR,1,5,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
6,6,5,Left,**R**,**S**,5,2,Win,SR,1,6,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
7,6,2,Right,**R**,**S**,4,2,Win,SR,2,7,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
8,6,6,Left,**R**,**S**,6,2,Win,SR,1,8,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
9,6,1,Left,**R**,**S**,1,2,Win,SR,1,9,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
10,6,2,Right,**R**,**S**,2,2,Win,SR,2,10,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
11,6,4,Left,**R**,**S**,4,2,Win,SR,1,11,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
